epoch,coeff_determination,learning_rate,loss,pearson_corr,val_coeff_determination,val_loss,val_pearson_corr,val_wrap_function,val_wrap_function_1,wrap_function,wrap_function_1
0,-5.825574849895521,0.0015375,0.6408721973101527,0.0533392924794814,-3.8001503290090346,0.9689656099878756,0.2254719668761232,0.7156651650520419,0.25752597571091546,0.9445855224387391,0.8888075706394438
1,-1.344605664737889,0.003025,0.39323002300272963,0.12762033946647156,-0.22692119062395025,0.7010082266384497,0.5845425539446952,0.4941673770098758,0.14399103289260004,0.9945884483702379,0.9676043090261693
2,-0.7945810107276945,0.0015375,0.36793583881511016,0.19863591740085892,0.09481438945110579,0.5951952524651262,0.5314903986633273,0.39046491973830344,0.251042539993287,0.9992161402422565,0.9943508459536344
3,-0.7209989200010017,5e-05,0.3560096103579803,0.2391853387232835,0.20414101593476489,0.5521094383153701,0.6227908295796329,0.2932868927717209,0.2726706877238768,0.9992763798527813,0.9949061727263236
4,-0.6581824514623822,0.00079375,0.3505297654879172,0.2619012399683656,0.15652695813573392,0.5737654232441034,0.5327579976920794,0.6232918543082879,0.4007032926817586,0.9992545963407946,0.9948087141607765
5,-0.5780571760055648,0.0015375,0.3518411870051203,0.2693042608329587,0.1044638622972302,0.5991573402756138,0.5406791487134489,0.7473830853189741,0.5310081720352173,0.9992109700264563,0.9945279191420526
6,-0.5947361533107653,0.00079375,0.3446875982477228,0.2922334781875662,0.2864715715996305,0.5285480971623184,0.6251293221810706,0.549137426498241,0.39533501805219434,0.9991721392203561,0.9945744199476698
7,-0.40781558170241805,5e-05,0.3295792343060838,0.35629077486150296,0.31255528164985485,0.5052088638893644,0.6378133256632582,0.20037217705993723,0.3088405746714513,0.9990391745261956,0.9941132298858474
8,-0.3993913004170007,0.000421875,0.32199658757316196,0.3750285167083131,0.33050161824190527,0.49486111393548493,0.6413827952585722,0.6098217115926563,0.4907965902547191,0.9990745699939375,0.9947525734481322
9,-0.4074801348700481,0.00079375,0.3228003826846259,0.3750002174246701,0.14015879075330004,0.5566460572687307,0.562256448071702,0.6285687935979742,0.5783840165998703,0.9990953555009747,0.9946890081487101
10,-0.2638293922021764,0.000421875,0.31505417867505003,0.41541764128415015,0.3294762801406975,0.4894377732635441,0.6343717794669302,0.5457474042598466,0.4495957496470975,0.9989247714361195,0.9940077338188061
11,-0.2273698815585394,5e-05,0.30339992813199584,0.45043692400466673,0.3248246371297908,0.500577187448516,0.6333302273786158,0.6371138792288931,0.49806748135645584,0.9989055452211033,0.9943312094602657
12,-0.19034782383748433,0.0002359375,0.29780499199849053,0.4649992886548211,0.2708258235364928,0.5261610087595487,0.6035808036201878,0.5401062921697932,0.39293169441976045,0.9989051494453477,0.9945684613803011
13,-0.2313247277037019,0.000421875,0.2972515299551988,0.46393527990676175,0.32941478481866365,0.4914443310042073,0.6456726391512648,0.6399553405275022,0.4908391377083341,0.9988683339288006,0.9944828607391253
14,-0.12246148251536343,0.0002359375,0.2932939907669301,0.4927309061408717,0.34328083418365707,0.49468829766251987,0.6380188060882396,0.6270718590657514,0.4847562044634855,0.9985754832006829,0.9933930684765672
15,-0.06908723545399029,5e-05,0.2860069724694273,0.5144172462083592,0.33980335158513003,0.49684627038195617,0.6299930010523115,0.5826818682197341,0.4537096653665815,0.9984533783745164,0.9930868745764428
16,-0.08420648959165063,0.00014296875,0.28337403753039,0.5168458334940893,0.3713306464646992,0.47998463202239877,0.6557191709826763,0.6582350793301611,0.5229990248841451,0.9987818435035906,0.9944699297025806
17,-0.0815508676368385,0.0002359375,0.28314251311615507,0.5195012346357207,0.3670334229791971,0.48655892005540374,0.6416613582381628,0.6917075328921017,0.5599378138556517,0.998438583159993,0.9930915050533563
18,-0.056512284028588405,0.00014296875,0.2804966336693863,0.5279656211729418,0.3734980861047157,0.4779557666832343,0.6611180603056026,0.50938315797121,0.4398536141653706,0.9985576316981425,0.993688867723207
19,-0.03014907624003597,5e-05,0.27712075535556907,0.5409891940914033,0.3868785674410655,0.477916598633716,0.6588684911118414,0.5829224540999062,0.5069180329491322,0.9985889752500181,0.9937397950665399
20,-0.0259913270613592,9.648438e-05,0.2757969561004648,0.5459233415788503,0.371288600183071,0.4776950873826679,0.6461551923500864,0.7046604897126667,0.6551199016714455,0.9972035370009273,0.9910607573090298
21,-0.037536232883572954,0.00014296875,0.27525726827573094,0.5410276286703276,0.33398695341626505,0.49502211544746744,0.6357271736725829,0.4537224368269282,0.3961450708091707,0.9984681236527931,0.99349192389705
22,-0.00975481008548497,9.648438e-05,0.2746709642017371,0.5521631967745969,0.3494123874750352,0.49315986642263887,0.646744383905167,0.5963921439434801,0.5843436985311652,0.9981838191484699,0.9924226898027511
23,0.039643552488225174,5e-05,0.27223048725220517,0.5638290147586633,0.39346641615817424,0.47348359756003644,0.6606153996367203,0.6893628845537515,0.5801465583923168,0.9982163738900413,0.99266321594975
24,0.01326664255696442,7.324219e-05,0.2710510275700145,0.5568256823765833,0.3799335565782131,0.4791769958528361,0.6497798343350116,0.6745717248018075,0.6060610649056901,0.9985515025966909,0.9939301451538681
25,0.022232783885281444,9.648438e-05,0.2706004306866857,0.5642891298283462,0.3821702512583338,0.47917438862019013,0.6539588751649498,0.6397070951759816,0.5309518404473039,0.9978581216611635,0.9924451835191372
26,0.03030514550247902,7.324219e-05,0.27037757519975786,0.5652184464075275,0.3576452583298647,0.48205021861800573,0.642332532979492,0.7233708423331268,0.630197423786149,0.9984006590290525,0.9934379390657216
27,0.04357794301185977,5e-05,0.2694495862881823,0.5715142517393381,0.3810870900189966,0.47820674790475604,0.6491574211228163,0.6121793089952684,0.5382637094734306,0.9979005430142657,0.9921613338637953
